Title,Link,Authors,Details,Publish Online,Publish Online Year,Publish Online Month,Publish Online Date
How Does Parental Early Maladaptive Schema Affect Adolescents’ Social Adaptation? Based on the Perspective of Intergenerational Transmission,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505476/,"Ying Shi, I-Jun Chen, Mengping Yang, Liling Wang, Yunping Song, Zhiyin Sun",Behav Sci (Basel)2024 Oct;14(10): 928.Published online 2024 Oct 10.doi:10.3390/bs14100928,10/10/2024,2024,Oct,10
Maximizing the Impact and ROI of Leadership Development: A Theory- and Evidence-Informed Framework,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505461/,Jaason M. Geerts,Behav Sci (Basel)2024 Oct;14(10): 955.Published online 2024 Oct 16.doi:10.3390/bs14100955,10/16/2024,2024,Oct,16
The Perils of Perfection: Navigating the Ripple Effects of Organizational Perfectionism on Employee Misbehavior through Job Insecurity and the Buffering Role of AI Learning Self-Efficacy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505453/,"Byung-Jik Kim, Hyun-Joo Oh, Min-Jik Kim, Dong-gwi Lee",Behav Sci (Basel)2024 Oct;14(10): 937.Published online 2024 Oct 12.doi:10.3390/bs14100937,10/12/2024,2024,Oct,12
The Discursive Configuration of the Therapeutic Community for Substance Users: Positioning and Ethnopsychological Processes Concerning Entry,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505450/,"Antonio Iudici, Tobia Berardelli, Davide Fenini, Emiliano Subissi, Jessica Neri",Behav Sci (Basel)2024 Oct;14(10): 951.Published online 2024 Oct 15.doi:10.3390/bs14100951,10/15/2024,2024,Oct,15
COVID-19 and University Students’ Well-Being: An Ecological and Multidimensional Perspective on Post-Pandemic Effects,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505436/,"Ciro Esposito, Barbara Agueli, Caterina Arcidiacono, Immacolata Di Napoli",Behav Sci (Basel)2024 Oct;14(10): 938.Published online 2024 Oct 14.doi:10.3390/bs14100938,10/14/2024,2024,Oct,14
"It Is Leadership, but (Maybe) Not as You Know It: Advocating for a Diversity Paradigm in Sports Leadership and Beyond",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505424/,"Tania Cassidy, Gary Byrne",Behav Sci (Basel)2024 Oct;14(10): 860.Published online 2024 Sep 24.doi:10.3390/bs14100860,9/24/2024,2024,Sep,24
Arabic Translation and Rasch Validation of PROMIS Anxiety Short Form among General Population in Saudi Arabia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505420/,"Hadeel R. Bakhsh, Monira I. Aldhahi, Nouf S. Aldajani, Tahera Sultana Davalji Kanjiker, Bodor H. Bin Sheeha, Rehab Alhasani",Behav Sci (Basel)2024 Oct;14(10): 916.Published online 2024 Oct 9.doi:10.3390/bs14100916,10/9/2024,2024,Oct,9
"Perceptions of Temporal Selves: Continuity, Psychological Outcomes, and the Significance of a Disadvantaged Background",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505364/,"Samantha L. McMichael, Kevin D. Redifer, Virginia S. Y. Kwan",Behav Sci (Basel)2024 Oct;14(10): 858.Published online 2024 Sep 24.doi:10.3390/bs14100858,9/24/2024,2024,Sep,24
The Impact of Insecure Attachment on Emotional Dependence on a Partner: The Mediating Role of Negative Emotional Rejection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505353/,"Janire Momeñe, Ana Estévez, Mark D. Griffiths, Patricia Macía, Marta Herrero, Leticia Olave, Itziar Iruarrizaga",Behav Sci (Basel)2024 Oct;14(10): 909.Published online 2024 Oct 8.doi:10.3390/bs14100909,10/8/2024,2024,Oct,8
"Residents’ Cognition, Attitudes, and Intentions to Participate in Long-Term Care Insurance: Moderating Effect of Policy Support",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505349/,"Zhaohui Sun, Yifan Li, Shaokui Gao",Behav Sci (Basel)2024 Oct;14(10): 895.Published online 2024 Oct 2.doi:10.3390/bs14100895,10/2/2024,2024,Oct,2
Trust Dynamics in Financial Decision Making: Behavioral Responses to AI and Human Expert Advice Following Structural Breaks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505338/,"Hyo Young Kim, Young Soo Park",Behav Sci (Basel)2024 Oct;14(10): 964.Published online 2024 Oct 17.doi:10.3390/bs14100964,10/17/2024,2024,Oct,17
Behavioral and Psychosocial Dynamics of Engagement: The Digital Divide in Artificial Intelligence [AI]-Driven Sports Podcasts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505282/,"Yair Galily, Tal Laor, Tal Samuel Azran",Behav Sci (Basel)2024 Oct;14(10): 911.Published online 2024 Oct 8.doi:10.3390/bs14100911,10/8/2024,2024,Oct,8
Aspects of Quality of Life: Single vs. Mated People,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505278/,"Menelaos Apostolou, Burcu Tekeş, Antonios Kagialis, Timo Juhani Lajunen",Behav Sci (Basel)2024 Oct;14(10): 954.Published online 2024 Oct 16.doi:10.3390/bs14100954,10/16/2024,2024,Oct,16
Determinants of Fertility Intentions among South Koreans: Systematic Review and Meta-Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505273/,"Eungyung Kim, Jee-Seon Yi",Behav Sci (Basel)2024 Oct;14(10): 939.Published online 2024 Oct 14.doi:10.3390/bs14100939,10/14/2024,2024,Oct,14
Exploring Job-Related Factors and Exercise Intentions in Relation to Overall Physical Activity and Its Subdivisions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505227/,"Wei-Hsun Wang, Wei-Ting Hsu, Hsin-I Cheng, Ren-Hau Li, Shu-Ling Huang, Feng-Cheng Tang",Behav Sci (Basel)2024 Oct;14(10): 912.Published online 2024 Oct 8.doi:10.3390/bs14100912,10/8/2024,2024,Oct,8
Differences in Marital Satisfaction and Intention for Subsequent Childbirth by Latent Profile of Family Values among Parents with Young Children in Korea,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505210/,"Youseok Choi, Ji-young Lim",Behav Sci (Basel)2024 Oct;14(10): 868.Published online 2024 Sep 25.doi:10.3390/bs14100868,9/25/2024,2024,Sep,25
Is Working Memory Necessary for Both Selection and Calculation in Level 1 Visual Perspective Taking? Evidence from Children and Adults,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505198/,"Guifen He, Wei Song, Peiqi Dong, Canmei Xu, Yanlin Zhou, Haoqin Ye, Qiong Zhang",Behav Sci (Basel)2024 Oct;14(10): 897.Published online 2024 Oct 3.doi:10.3390/bs14100897,10/3/2024,2024,Oct,3
The Effect of Job Skill Demands Under Artificial Intelligence Embeddedness on Employees’ Job Performance: A Moderated Double-Edged Sword Model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505194/,"Ningning Chen, Xinan Zhao, Lele Wang",Behav Sci (Basel)2024 Oct;14(10): 974.Published online 2024 Oct 21.doi:10.3390/bs14100974,10/21/2024,2024,Oct,21
Vision Communication and Firm Quality Performance: The Mediating Role of Employee Involvement and the Moderating Effect of Leader Support,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505190/,"Dan Ji, Jiankun Gong, Zheng Guo",Behav Sci (Basel)2024 Oct;14(10): 902.Published online 2024 Oct 7.doi:10.3390/bs14100902,10/7/2024,2024,Oct,7
The Relationship between Marital Satisfaction and Spiritual Well-Being of Chinese Older Adults: The Mediating Effect of Psychological Security and Aging Expectations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505183/,"Longxing Tang, Yachi Yang, Zhiwei An, Yalian Huang, Ping Tang",Behav Sci (Basel)2024 Oct;14(10): 949.Published online 2024 Oct 15.doi:10.3390/bs14100949,10/15/2024,2024,Oct,15
Relationship between Experiential Avoidance and Emotional Disturbances in Coping with Disease in Patients with Multiple Sclerosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505163/,"María Cuerda-Ballester, David Sancho-Cantus, David Martínez-Rubio, Belén Proaño-Olmos, María Pilar García-Pardo, José Enrique de la Rubia Ortí",Behav Sci (Basel)2024 Oct;14(10): 930.Published online 2024 Oct 10.doi:10.3390/bs14100930,10/10/2024,2024,Oct,10
Parent–Child Relationships and Adolescents’ Non-Cognitive Skills: Role of Social Anxiety and Number of Friends,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505161/,"Xiaoxue Kuang, Fen Ren, John Chi-Kin Lee, Hui Li",Behav Sci (Basel)2024 Oct;14(10): 961.Published online 2024 Oct 17.doi:10.3390/bs14100961,10/17/2024,2024,Oct,17
Belief in a Just World Decreases Blame for Celebrity Infidelity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505149/,"Ching-Yi Huang, Takashi Arai, Tsuneyuki Abe",Behav Sci (Basel)2024 Oct;14(10): 893.Published online 2024 Oct 2.doi:10.3390/bs14100893,10/2/2024,2024,Oct,2
Parental Educational Attainment on Adolescent Educational Development: A Multi-Group Analysis of Chinese Left-Behind and Non-Left-Behind Children,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505136/,"Guilin Xu, Chunhua Fu",Behav Sci (Basel)2024 Oct;14(10): 870.Published online 2024 Sep 25.doi:10.3390/bs14100870,9/25/2024,2024,Sep,25
"Promoting Teachers’ Organizational Commitment: The Effects of Authentic Leadership, Teachers’ Well-Being and Social–Emotional Competence",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505086/,"Zeqing Xu, Nicholas Sun-Keung Pang",Behav Sci (Basel)2024 Oct;14(10): 862.Published online 2024 Sep 24.doi:10.3390/bs14100862,9/24/2024,2024,Sep,24
Social Interaction and Online Learning Efficiency for Middle School Students: The Mediating Role of Social Presence and Learning Engagement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505076/,"Fangfang Gao, Chunzhen Wang, Han Xie, Jianzhong Hong",Behav Sci (Basel)2024 Oct;14(10): 896.Published online 2024 Oct 3.doi:10.3390/bs14100896,10/3/2024,2024,Oct,3
The Impact of Cues on Joint Attention in Children with Autism Spectrum Disorder: An Eye-Tracking Study in Virtual Games,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505074/,"Lili Liu, Shuang Li, Lin Tian, Xinyu Yao, Yutao Ling, Jingying Chen, Guangshuai Wang, Yang Yang",Behav Sci (Basel)2024 Oct;14(10): 871.Published online 2024 Sep 25.doi:10.3390/bs14100871,9/25/2024,2024,Sep,25
Development and Validation of the Defending Behavior Scale of Cyberbullying for Adolescents,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505063/,"Hong Chen, Chuan Chen, Yunduan Li, Cuiying Fan",Behav Sci (Basel)2024 Oct;14(10): 967.Published online 2024 Oct 18.doi:10.3390/bs14100967,10/18/2024,2024,Oct,18
How Is Rejection Sensitivity Linked to Non-Suicidal Self-Injury? Exploring Social Anxiety and Regulatory Emotional Self-Efficacy as Explanatory Processes in a Longitudinal Study of Chinese Adolescents,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505057/,"Junyan Zhao, Anna Li, Kunlin Li, Fengqing Zhao",Behav Sci (Basel)2024 Oct;14(10): 943.Published online 2024 Oct 14.doi:10.3390/bs14100943,10/14/2024,2024,Oct,14
"Start Task Crafting, Stay Away from Cyberloafing: The Moderating Role of Supervisor Developmental Feedback",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505047/,"Man Hai, Xuyao Wu, Bingping Zhou, Ye Li",Behav Sci (Basel)2024 Oct;14(10): 960.Published online 2024 Oct 17.doi:10.3390/bs14100960,10/17/2024,2024,Oct,17
"The Shield of Self-Esteem: Buffering against the Impact of Traumatic Experiences, Fear, Anxiety, and Depression",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505037/,"Alessandro Alberto Rossi, Silvia Francesca Maria Pizzoli, Isabel Fernandez, Roberta Invernizzi, Anna Panzeri, Federica Taccini, Stefania Mannarini",Behav Sci (Basel)2024 Oct;14(10): 901.Published online 2024 Oct 4.doi:10.3390/bs14100901,10/4/2024,2024,Oct,4
Conceptualizing Sleep Satisfaction: A Rapid Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505034/,"Cleo Protogerou, Valerie Frances Gladwell, Colin R. Martin",Behav Sci (Basel)2024 Oct;14(10): 942.Published online 2024 Oct 14.doi:10.3390/bs14100942,10/14/2024,2024,Oct,14
Expectancy Violations and Discontinuance Behavior in Live-Streaming Commerce: Exploring Human Interactions with Virtual Streamers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11505004/,"Yanhong Chen, Xiangxia Li",Behav Sci (Basel)2024 Oct;14(10): 920.Published online 2024 Oct 9.doi:10.3390/bs14100920,10/9/2024,2024,Oct,9
Knowledge of Learning Strategies and Motivation to Use Them: Similarities and Differences between School Levels,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504996/,"Eve Kikas, Ita Puusepp, Mikk Granström, Kaja Mädamürk",Behav Sci (Basel)2024 Oct;14(10): 889.Published online 2024 Oct 1.doi:10.3390/bs14100889,10/1/2024,2024,Oct,1
Influence of Internet Use on Happiness in China: Mediating Effects of Environmental Quality Perception and Moderating Role of Sense of Environmental Security,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504950/,"Xiaorui Huang, Mingqi Fu",Behav Sci (Basel)2024 Oct;14(10): 866.Published online 2024 Sep 25.doi:10.3390/bs14100866,9/25/2024,2024,Sep,25
Can Gratitude Help to Craft Your Career? The Role of Prosocial Motivation and Intrinsic Motivation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504681/,"Qing Zhang, Haibo Yu, Rui Xiong, Xiaolin Ge, Lei Gao",Behav Sci (Basel)2024 Oct;14(10): 877.Published online 2024 Sep 30.doi:10.3390/bs14100877,9/30/2024,2024,Sep,30
How Algorithmic Management Influences Gig Workers’ Job Crafting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504671/,"Rong Liu, Haorong Yin",Behav Sci (Basel)2024 Oct;14(10): 952.Published online 2024 Oct 15.doi:10.3390/bs14100952,10/15/2024,2024,Oct,15
"GHB, Chemsex and Chemical Submission: Investigating the Role of Sexuality on Victim Empathy and Blame Attribution in Drug-Facilitated Sexual Assault against Men",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504582/,"Harrison Lee, Danielle Labhardt, Dominic Willmott",Behav Sci (Basel)2024 Oct;14(10): 913.Published online 2024 Oct 8.doi:10.3390/bs14100913,10/8/2024,2024,Oct,8
Assessment and Treatment of Target Behavior Maintained by Social Avoidance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504551/,"Sarah K. Slocum, Emily Gottlieb, Mindy Scheithauer, Colin Muething",Behav Sci (Basel)2024 Oct;14(10): 957.Published online 2024 Oct 16.doi:10.3390/bs14100957,10/16/2024,2024,Oct,16
Predicting the Risk of Loneliness in Children and Adolescents: A Machine Learning Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504542/,"Jie Zhang, Xinyi Feng, Wenhe Wang, Shudan Liu, Qin Zhang, Di Wu, Qin Liu",Behav Sci (Basel)2024 Oct;14(10): 947.Published online 2024 Oct 15.doi:10.3390/bs14100947,10/15/2024,2024,Oct,15
Development of the Parent–Child Communication Quality Scale from the Perspective of Children’s Psychological Needs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504523/,"Wenhui Lyu, Xiaohui Shi, Zhiheng Xiong, Yujie Mu",Behav Sci (Basel)2024 Oct;14(10): 933.Published online 2024 Oct 11.doi:10.3390/bs14100933,10/11/2024,2024,Oct,11
"Intimate Partner Violence and Mental Distress, Post-Traumatic Stress Symptoms and Life Satisfaction in Colombian Women",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504457/,"Janneth E. Molina, M. Pilar Matud",Behav Sci (Basel)2024 Oct;14(10): 940.Published online 2024 Oct 14.doi:10.3390/bs14100940,10/14/2024,2024,Oct,14
The Effect of Loneliness on Work Engagement among Chinese Seafarers: Mediating Effects of Executive Functions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504404/,"Xinjie Qi, Daoke Li, Rong Lian",Behav Sci (Basel)2024 Oct;14(10): 880.Published online 2024 Oct 1.doi:10.3390/bs14100880,10/1/2024,2024,Oct,1
A French Adaptation and Validation of Retirement Semantic Differential (RSD),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504382/,"Laurie Borel, Benjamin Boller, Georg Henning, Guillaume T. Vallet",Behav Sci (Basel)2024 Oct;14(10): 891.Published online 2024 Oct 2.doi:10.3390/bs14100891,10/2/2024,2024,Oct,2
"Video Game Skills across Diverse Genres and Cognitive Functioning in Early Adulthood: Verbal and Visuospatial Short-Term and Working Memory, Hand–Eye Coordination, and Empathy",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504367/,"Triantafyllia Zioga, Aristotelis Ferentinos, Eleni Konsolaki, Chrysanthi Nega, Panagiotis Kourtesis",Behav Sci (Basel)2024 Oct;14(10): 874.Published online 2024 Sep 27.doi:10.3390/bs14100874,9/27/2024,2024,Sep,27
How Cultural Involvement in Different Brand Types Influences Willingness to Pay Premium: The Mediating Role of Brand Happiness,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504224/,"Zhimin Zhou, Yuan He, Yufeng Xie, Shafaqat Mehmood",Behav Sci (Basel)2024 Oct;14(10): 908.Published online 2024 Oct 8.doi:10.3390/bs14100908,10/8/2024,2024,Oct,8
Sustainability of Technical and Vocational Education and Training (TVET) along with Vocational Psychology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504099/,"Jian-Hong Ye, Zhen He, Bin Bai, Yu-Feng Wu",Behav Sci (Basel)2024 Oct;14(10): 859.Published online 2024 Sep 24.doi:10.3390/bs14100859,9/24/2024,2024,Sep,24
Persuasive Effects of Crisis Communication during Public Health Emergency Outbreaks in China,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504091/,"Ting Wu, Guang Yu",Behav Sci (Basel)2024 Oct;14(10): 885.Published online 2024 Oct 1.doi:10.3390/bs14100885,10/1/2024,2024,Oct,1
Bedouin Adolescents during the Iron Swords War: What Strategies Help Them to Cope Successfully with the Stressful Situation?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504046/,"Haled Al-Said, Orna Braun-Lewensohn",Behav Sci (Basel)2024 Oct;14(10): 900.Published online 2024 Oct 4.doi:10.3390/bs14100900,10/4/2024,2024,Oct,4
The Effect of Item Strength on Retrieval-Induced Forgetting in Social Interaction,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11504016/,"Yue Chu, Hui Xu, Weihai Tang, Xiping Liu",Behav Sci (Basel)2024 Oct;14(10): 950.Published online 2024 Oct 15.doi:10.3390/bs14100950,10/15/2024,2024,Oct,15
"Comparative Analysis of Stroke, Marital Intimacy, Marital Satisfaction and Divorce Intention According to the Type of Participation in Marital Leisure Sports Activities",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11444135/,"Ji-Hye Yang, Hye Jin Yang, Si Cheol Jung, Chulhwan Choi, Chul-Ho Bum",Behav Sci (Basel)2024 Sep;14(9): 757.Published online 2024 Aug 27.doi:10.3390/bs14090757,8/27/2024,2024,Aug,27
Levels of Empathy in Students and Professors with Patients in a Faculty of Dentistry,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429460/,"Víctor P. Díaz-Narváez, Joyce Huberman-Casas, Jorge Andrés Nakouzi-Momares, Chris Alarcón-Ureta, Patricio Alberto Jaramillo-Cavieres, Maricarmen Espinoza-Retamal, Blanca Patricia Klahn-Acuña, Leonardo Epuyao-González, Gabriela Leiton Carvajal, Mariela Padilla, Lindsay W. Vilca, Alejandro Reyes-Reyes, Fernando Reyes-Reyes",Behav Sci (Basel)2024 Sep;14(9): 817.Published online 2024 Sep 14.doi:10.3390/bs14090817,9/14/2024,2024,Sep,14
The Effect of Time Display Format on Cognitive Performance of Integrated Meteorological Radar Information,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429408/,"Bo Liu, Yunhe Wang, Yongxin Li",Behav Sci (Basel)2024 Sep;14(9): 847.Published online 2024 Sep 20.doi:10.3390/bs14090847,9/20/2024,2024,Sep,20
The Group Intertemporal Decision-Making Process,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429396/,"Hong-Yue Sun, Yi-Ting Xiao, Shan-Shan Yang",Behav Sci (Basel)2024 Sep;14(9): 815.Published online 2024 Sep 14.doi:10.3390/bs14090815,9/14/2024,2024,Sep,14
Beyond Magic: Fostering Literacy Resilience in Diverse Classrooms through Home-Based Approaches,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429375/,Dolly Eliyahu-Levi,Behav Sci (Basel)2024 Sep;14(9): 834.Published online 2024 Sep 18.doi:10.3390/bs14090834,9/18/2024,2024,Sep,18
A Study on the Leisure Sports Participation Behavior of the Elderly through Comparative Analyses by Age: Focusing on Leisure Participation Constraints and Price Sensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429335/,Soon-Young Kim,Behav Sci (Basel)2024 Sep;14(9): 803.Published online 2024 Sep 11.doi:10.3390/bs14090803,9/11/2024,2024,Sep,11
Effects of Technostress on Psychological Contract Violation and Organizational Change Resistance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429331/,"JaeWon Shin, HyoungChul Shin",Behav Sci (Basel)2024 Sep;14(9): 768.Published online 2024 Sep 2.doi:10.3390/bs14090768,9/2/2024,2024,Sep,2
Veracity Judgments Based on Complications: A Training Experiment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429330/,"Haneen Deeb, Aldert Vrij, Jennifer Burkhardt, Sharon Leal, Samantha Mann",Behav Sci (Basel)2024 Sep;14(9): 839.Published online 2024 Sep 19.doi:10.3390/bs14090839,9/19/2024,2024,Sep,19
Punishment after Life: How Attitudes about Longer-than-Life Sentences Expose the Rules of Retribution,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429324/,"Eyal Aharoni, Eddy Nahmias, Morris B. Hoffman, Sharlene Fernandes",Behav Sci (Basel)2024 Sep;14(9): 855.Published online 2024 Sep 23.doi:10.3390/bs14090855,9/23/2024,2024,Sep,23
Patients’ Perspectives on the Acceptability and Effectiveness of a Community Health Worker-Led Intervention to Increase Chronic Kidney Disease Knowledge and Screening among Underserved Latine Adults: The CARE 2.0 Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429309/,"Janet Diaz-Martinez, Ivan Delgado-Enciso, Carlos Duran, Laura Kallus, Aydeivis Jean-Pierre, Brenda Lopez, Jessica Mancilla, Yoel Madruga, Gustavo A. Hernandez-Fuentes, Wayne Kotzker, Osiris Delgado-Enciso, Eric Wagner, Michelle Hospital",Behav Sci (Basel)2024 Sep;14(9): 750.Published online 2024 Aug 27.doi:10.3390/bs14090750,8/27/2024,2024,Aug,27
From Tradition to Innovation: Analyzing Strategies and Support for Enhancing Badminton Course Teaching Quality through Educational Technology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429305/,"Mei-Ling Lin, Nan-Chi Chen, Yu-Jy Luo, Chun-Chin Liao, Chun-Chieh Kao",Behav Sci (Basel)2024 Sep;14(9): 857.Published online 2024 Sep 23.doi:10.3390/bs14090857,9/23/2024,2024,Sep,23
High Impostors Are More Hesitant to Ask for Help,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11429303/,"Si Chen, Lisa K. Son",Behav Sci (Basel)2024 Sep;14(9): 810.Published online 2024 Sep 12.doi:10.3390/bs14090810,9/12/2024,2024,Sep,12
